[2026-05-14 18:46:31] PID: 132721842058944, File: f1.txt, Status: success, Time: 0.237 sec
[2026-05-14 18:46:31] PID: 132721825273536, File: f3.txt, Status: success, Time: 0.239 sec
[2026-05-14 18:46:31] PID: 132721833666240, File: f2.txt, Status: success, Time: 0.345 sec
[2026-05-14 18:46:31] PID: 132721825273536, File: f5.txt, Status: success, Time: 0.207 sec
[2026-05-14 18:46:31] PID: 132721842058944, File: f4.txt, Status: success, Time: 0.212 sec
[2026-05-14 18:46:31] PID: 132721825273536, File: f1.txt, Status: success, Time: 0.073 sec
[2026-05-14 18:46:31] PID: 132721825273536, File: f2.txt, Status: success, Time: 0.093 sec
[2026-05-14 18:46:31] PID: 132721825273536, File: f3.txt, Status: success, Time: 0.058 sec
[2026-05-14 18:46:31] PID: 132721825273536, File: f4.txt, Status: success, Time: 0.061 sec
[2026-05-14 18:46:31] PID: 132721825273536, File: f5.txt, Status: success, Time: 0.057 sec
[2026-05-14 18:47:09] PID: 140213529605824, File: f1.txt, Status: success, Time: 0.067 sec
[2026-05-14 18:47:10] PID: 140213529605824, File: f1.txt, Status: success, Time: 0.068 sec
[2026-05-14 18:48:29] PID: 137031543944896, File: f1.txt, Status: success, Time: 0.231 sec
[2026-05-14 18:48:29] PID: 137031527159488, File: f2.txt, Status: success, Time: 0.234 sec
[2026-05-14 18:48:29] PID: 137031535552192, File: f3.txt, Status: success, Time: 0.360 sec
[2026-05-14 18:48:29] PID: 137031543944896, File: f4.txt, Status: success, Time: 0.174 sec
[2026-05-14 18:48:29] PID: 137031527159488, File: f5.txt, Status: success, Time: 0.173 sec
[2026-05-14 18:48:29] PID: 137031527159488, File: f1.txt, Status: success, Time: 0.062 sec
[2026-05-14 18:48:29] PID: 137031527159488, File: f2.txt, Status: success, Time: 0.059 sec
[2026-05-14 18:48:29] PID: 137031527159488, File: f3.txt, Status: success, Time: 0.059 sec
[2026-05-14 18:48:30] PID: 137031527159488, File: f4.txt, Status: success, Time: 0.056 sec
[2026-05-14 18:48:30] PID: 137031527159488, File: f5.txt, Status: success, Time: 0.059 sec
